,review title,job title,job location,date,description,pros,cons
11,Corporate environment with profits that mattered.,"Typist, Promoted to Secretary","Johannesburg, Gauteng",06-Oct-18,"I was the secretary who dealt with plant Heads of Department in a gold mine. I was directly reporting to two metallurgical superintendents: typing, screening calls, audio-typing reports. All secretarial duties. Security in the office was of utmost  importance with confidential data being prepared each day. I learned how to work with outside departments and learned communication skills. Management was hierarchical and working in silos: Engineering dept., metallurgical dept., admin, HR dept., Loss Control and Finance dept. All metallurgical departments directly reporting to the two metallurgical superintendents (my two managers). The metallurgical departments comprised Carbon In Leach, Acid Plant, Gold Plant, Loss Control and Flotation Plant  which are metallurgical plants to produce, ultimately, gold.   The workplace demanded good work ethic and the ability to work under pressure. The hardest part of the job was during a slump in the gold price with low motivation, lay-offs and stressful working conditions, taking on extra duties with the corporation austerity measures.The most enjoyable part of the job was making sure the job was done .", , 
12,"Buen ambiente laboral, estable y bien remunerado",Jefe de Turno Mina,Mantos Blancos,04-Oct-18,"Empresa con constante preparación hacia la linea de supervisor, realizando capacitaciones en distintos temas.",Buenos beneficios para los supervisores,ninguno
13,Good package of benefits,Plant Supervisor,"Witbank, Mpumalanga",20-Sep-18,"Too much work to be done when working in the plant, training and coaching of staff, plant and dams inspections and admin dutiesI have learnt to be patient and work towards my goal by being perssistant.The culture is great. Pleople work togehter and care about each other. Its not only about work and result.Hardest part is when the plant is on stop due to a breakdown! Enjoyable part: I get the satisfaction when ensured the plant runs according to normal operational procedures...Its fulfilling","free luches, breakfasts, snacks & bottled water, lots of training",Long hours
14,Productive and fun place,Fitter and Turner,"Klerksdorp, North West",14-Sep-18,Each employee had work tasks and each employee to responsibilityWas good team workEvery day you gained new skills good managementGood work ethicsOccasionally Long Hoursall parts and spars were always availableWas a good company to work for,training,Salary
15,Productive and challenging,boilermaker assistant,"Northam, Limpopo",14-Sep-18,"Valueing and caring for each other is the most important thing in this company.No women discrimination,everybody is treated fairly.safety is treated as a first born child.rasism is crushed in a minute and giving its people education and knowledge is very important here.if you stick to the rules then you are safe.Loving what you do will always encourage you to reach upper heights and believing in yourself will strengthen your self esteem,a wise man said so once.",Bonuses,No christmas breaks
16,"My home where i started learning about engineering,and i fell in love with it","encarregado  produção, supervisor de produção","Catalão, GO",13-Sep-18,Empresa multinacional de grande porte com uma política voltada para o bem estar  dos funcionários e familia.dando oportunidade  para seguir carreira proficional novos cargos.nunca atrasou pagamento dando oportunidade na participação  dos lucros.,Pagamento em dia. Parte social atuante. Atendimento medico na empresa.,Por ser uma multinacional tinha um segmento da politica externa deichando im pouco da nossa cultura.
17,"Empresa voltada ao meio ambiente  e comunidade, zelandobpelo bem estar dos funcionários.",tecnico de processo,Brasil,09-Sep-18,"Cultura muito focada em pessoas, excelente clima. Empresa preocupada com segurança e bem estar dos funcionarios.","Refeição na empresa, Transporte.", 
18,Productive and fun workplace,Gerente de Manutenção de Etqpos de Mina,"Pedra Branca do Amapari, AP",06-Sep-18,"Anglo American é uma boa empresa pra se trabalhar, possui valores fortes, os empregados são engajados e o ambiente de trabalho é desafiador.", , 
19,"Old and traditional company, excellent to develop your career .",Especialista senior Mantenimiento,Mantoverde Chañaral,01-Sep-18,"Inicio de la jornada, con revisión de todos los aspectos de seguridad tanto analizando los trabajos ejecutados el día anterior, como los a desarrollar.Posteriormente se revisa la planificación a corto y mediano plazo.Lo mas complejo es contar con todos los recursos humanos y logísticos |para el desarrollo de las actividades por eso es importante que los programadores aseguren con tiempo todo lo necesario.lo aprendido, lo preventivo tanto en seguridad como en planificación son la base de un excelente proceso.lo que más me gusto fue el trabajo en equipo para sacar los desafíos adelante, (cumplimiento kpi tanto de seguridad, producción y  costos)","Excelente seguro médico, alojamiento, traslado personal","la variabilidad de los precios del mercado, lo que obliga a una constante reducción de recursos."
20,Productive and fun workplace,Safety Officer,Kolomela,31-Aug-18,A normal day at Kumba is where you get to meet new people every time. Safety is a process and it takes a while to be implemented. Management is motivated to get involved in the day to day issues regarding the staff. Everyone is committed to zero harm. Paperwork is the only hard part of the job because it takes you away from the people doing the work and implementing a new system and reaching a KPI goal is my considered my fun time at work., , 
21,Working in Multinational exploration company,Geologist,India,05-Aug-17,"Enjoyed while working in Multinational exploration company with overseas exploration expert. Learnt necessary software, exploration technique, behavior to work with foreigners.",work on scheduling,Multitasking
22,Melhor empresa que já trabalhei.,Aprendiz SENAI,"Niquelândia, GO",30-Aug-18,"El ambiente laboral es bueno, la gente respecta los horarios, el descanso en los buses, el transporte es cómodo, los almuerzos y desayunos son buenos.",Todo,Não tem.
23,Professional and productive workplace,Profesor de Inglés,"Ciudad de México, D. F.",21-Aug-18,Fue un agrado y enriquecedor pertenecer a una compañía de gran cultura mundial en minería., ,Lots of meetings :-)
24,Productive,Estágio em Assistente Administrativo,"Niquelândia, GO",10-Aug-18,"Me tornei um profissional super capacitado e de motivação sempre em alta, pelos desafios em atingir os planos e colegas de alto nível de conhecimento e habilidades.",Preocupação com os funcionários e região localizada, 
25,"Productive, but a huge room for improvement.",tecnico de processo,Brasil,10-Aug-18,Keeping dairy up to dateGeneral admin work at the officeTime and attendance recordsStaff enquiries Travelling arrangements for CEOTyping of documentsMeetings and food, ,Working on weekends.
26,Productive environment that advances it's employees,Práctica Profesional I,"Santiago de Chile, Región Metropolitana",07-Aug-18,Great environment that fostered a spirit of teamwork and collaboration. Intensive travelling required. Well balanced environment that was results driven and oriented, ,Night shift
27,Admin,Técnico em Mineração,"Conceição do Mato Dentro, MG",20-Jul-18,"A empresa tem uma boa preocupação com os funcionários, com um nível de benefícios acima da média do mercado. O ambiente de trabalho é muito bom, e empresa bem estruturada.","Benefícios, clima.", 
28,Challenging and exciting place to be,Senior administrator,"Polokwane, Limpopo",11-Jul-18,A anglo American é  uma Empresa com Política de valores sólidos e missão conhecida.De valorização das pessoas e com exigente performance dos empregados., ,long hours
29,Hooked,Engineer,Johannesburg,10-Jul-18,Indico para qualquer pessoa como uma das maiores e melhores empresas do mundo,Os benefícios são ótimos,Slow decision makers
30,Excelente empresa para trabalhar,Project Administrator,"Thabazimbi, Limpopo",01-Jul-18,Te vi só agradecer tudo que aprendi graças a ela estou  com bom Curriculum,Otimo,A localização
31,Anglo Platinum Review,Vacation Student,"Johannesburg, Gauteng 2107",30-Jun-18,I enjoyed me time at Anglo Platinum and learnt a lot from my colleagues.I started my career with Anglo Platinum and appreciated all the opportunities afforded to me to grow my career., , 
32,Productive and pressure,Metallurgist,"Crown Mines, Gauteng",28-Jun-18,"Si lo que dicen es cierto, ¡de la que me salvé! Es verdad que la escuela se ve chafa, el ambiente muy de preparatoria oficial, se ve poco profesional. Como profesores no debemos permitir que se nos pague tan poco.",Estaba cerca de mi casa.,8 hours
33,Excelente ambiente de trabajo y beneficios a supervisores,HR,Johannesbury,25-Jun-18,"Excelente relación entre las personas tanto de rangos altos entre rangos menores y viceversa, respeto al 100% tanto entre si como con empresas colaboradoras .","Confiables, honestos, respeto, integridad, colaboración.",ninguno
34,Empresa agradável de trabalhar e profissionais fantáticos,Jefe de operaciones Mantención Mina,Superintendencia de mantencion,13-Jun-18,You work with an interactive management team that supports your goals and aspirations whilst helping you focus on the daily task assigned to you. The staff is also extremely friendly.,Free Lunches,Não
35,ótima empresa,Information Systems Analyst,"Johannesburg, Gauteng",07-Jun-18,En la empresa que me desempeño actualmente es una empre que vela dia a dia por la intregrida de cada trabajador respetando los estandare y liderazgos de cada persona y grupo de trabajadores y realisa el trabajo de extraccion de mineral esplotacion de bancos cuidando el medio ambiente y no dañando el eco sitema,Ninguno,não encontrei
36,Hard but exciting with safety achievements recognised and celebrated,Ing. Planificador Mantención Mina,Mantoverde Chañaral,06-Jun-18,"Ótima empresa, valoriza os colaboradores. Aprendizado foi muito bom durante o meu tempo na empresa.", ,Being the middle manager closing the mistrust between management and employee
37,Excelente empresa para se trabalhar,Analista Administrativo Pleno,"Catalão, GO",05-Jun-18,"Estabilidad laboral, buenos beneficios, existia un constante aprendisaje en el tema de seguridad", , 
38,Agradável de trabalhar e com ótima gerências.,"Long Range Maintenance Planner, HME","Tumbler Ridge, BC",04-Jun-18,"I have worked for AngloAmerican for five years, and I can assure it is a great company to start your career. The environment is friendly and there are a lot to learn there.",Benefits, 
39,"Empresa muito boa de trabalhar, ótimo ambiente de trabalho.",Maintenance Engineer,Barro Alto - GO - Brazil,04-Jun-18,"Forte preocupação com segurança,  bons benefícios e salário.",Beneficios e salarios.,Diferenças culturais de estilo de gestão Inglês x Brasileiro.
40,Possui valores e política definida.,Electrician Artisan,Mpumalanga,01-Jun-18,A very busy day at workFocused and determinedGreat company but there's no job security due to economic and commodity fluctuationUbuntu culture prevailDoing month end reportsSafety campaigns and activities,Working as a team, 
41,A day to day run of a training center,Senior Analyst Programmer,"Johannesburg South, Gauteng",23-May-18,Professional environment characterized by collaboration and fact based decision making. There is a culture of continuous business improvement  and lessons learned inform future decisions,Wealth of knowledge,Lack of support from management / supervisor
42,Working in Multinational exploration company,Geologist,India,05-Aug-17,"Enjoyed while working in Multinational exploration company with overseas exploration expert. Learnt necessary software, exploration technique, behavior to work with foreigners.",work on scheduling,Multitasking
43,Agradável,operador de equipamentos III,"Conceição do Mato Dentro, MG",22-May-18,"Muito boa de trabalhar, ótimos profissionais e ótimos resultados, benefícios",Great salary and benefits.,Fornece
44,safety,electrician,"Rustenburg, North West",20-May-18,very safe environment to work inproductive team memberssupportive management teamfair training and development opportunitiesliving righteous values,Medical Aid,sometimes slow progress..too much adminisrative work
45,It was fun to work at bokoni,Tna operator,Limpopo,19-May-18,I have worked for this company for 8 years i wish they could open bokoni platinum mine again it was like home 2 us we really muss that place ;Anglo  is a good company i dont want to  lie 2 you,Development,No
46,Productive workplace,HR,Johannesbury,14-May-18,I enjoyed having an open plan office which allowed me to interact with my team. We had different pockets of expertise and I enjoyed my area of work although it was challenging. A focused mindset and a good work ethic is part of the role., ,Not enough opportunity to grow
47,productive and fun work place,Electrician Artisan,Mpumalanga,09-May-18,"Anglo American is a fun working place, enjoyed working there since 2005-2007 as an apprentice got qualified as an Electrician in 2007 until 2017, and never experienced any challenges.",Bonus,normal working hours
48,Productive and fun workplace,Sales Consultant,"Limpopo, polokwane",08-May-18,ManagementAt times management empowered. Good and supportive workers/colleagues. Team spirit. Good remuneration and packages. Achievements recognised.,interesting chemical processes,Long hours
49,Transparent and responsible company,Business Improvement Specialist,"Santiago de Chile, Región Metropolitana",06-May-18,I'ts a global company with good payment and other ear benefits,"Refeição na empresa, Transporte.", 
50,4 estrellas,Dibujante CAD,"Santiago de Chile, Región Metropolitana",01-May-18,"Aprendí a usar software CAD Deswik, lo cual me gustó mucho.", , 
51,Productive company,Underground Electrician,Limpopo,"April 25, 2018","Is a good company but dont care about the employees,It's only check for production,they talk safety but they don't practice it at workplaces and put pressure on employees",Todo,Long hours
52,Agradavel de trabalhar e reconhecimento,Coordenador de Informatica Induatrial,Minas Gerais,"April 21, 2018","Empresa multinacional que valoriza seus funcionarios, reconhecimento e transparencia, transformados em valores são seus principais qualidades",Proper career advancement institution, 
53,Compañía con altísimos estándares de seguridad y cuidado de las personas.,Ing. Planificador Mantención Mina,Mantoverde Chañaral,"April 17, 2018","Una compañía con grandes valores, responsable con todo lo que lo rodea, su cultura la ha llevado a ser lo que es hoy y lo mas importante que se siente que tu aporte es muy importante para ellos.", ,Ninguno
54,ambiente grato para trabajar,conductor de camiones,"Copiapó, Atacama","April 16, 2018",trabajar con buen ambiente laboral buenas maquinas  para trabajar  con seguridad y respetar el medio ambiente,Ninguno, 
55,Buen ambiente de trabajo,Capacitador y certificacion,"Copiapó, Atacama","April 15, 2018","Buena empresa para trabajar, existen posibilidades de crecimiento profesional y hay muchos beneficios disponibles para todos.","Confiables, honestos, respeto, integridad, colaboración.", 
56,Good environment to work in  and productive company,Winding Engine Driver,North West,"April 12, 2018","Like working for Anglo American, their values and morals is a plus. They value and care about their employees, the salary is good n the bonuses is also a plus.",Experiência em uma multinacional.,Strict
57,Fancy company,Executive Assistant,"Johannesburg, Gauteng","April 5, 2018","A good company to work for, it has good rewards and benefits.  It has a gym in the vicinity and that promotes healthy living. Used to  have many social events which was an opportunity for employees to know each other.",Estaba cerca de mi casa.,Travel
58,Ambiente de trabajo no fue muy grato,mantenedor mecanico,"El Melón, Valparaíso","April 3, 2018","Mi experiencia personal fue que como mujer en el área mecanica no fue de la mejor con algunos compañeros y con los jefes en general, se notó que solo lo hicieron para evitar multas",Teammates and field management team,Para quien le guste este trabajo no hay contras
59,Anglo American is a family friendly company to work with,snr site supervisor,Limpopo and North West province,"April 3, 2018",Exelant company to work with. Been a pleasure to be part of the project team. Best colleagues you can work with.This is a stable com with a big impact in Africa not just Sa., ,Be honest. Be yourself. Be friendly.
60,Productive workplace,Electrician,"Welkom, Free State",25-Mar-18,"As I was in charge of the generator room at the Uranium Plant, and therefore never went underground in the mine, I enjoyed my job at President Brand mine.",Recognition, 
61,Una empresa de excelente productividad y muy completa en ambito de seguridad,Inspectora de anodos,Laboratorio,22-Mar-18,Seguridad laboral. Confianza al ejercer la tarea gracias a los excelentes equipo que tienen.,Os benefícios são ótimos,No tienen contras
62,"Productive,production is very high",Acting electrician,Limpopo thabazimbi,21-Mar-18,"It's good to be part of Anglo American platinum because there are many benefits for our children, bursaries transport to school etc. I love safety there but I dislike travelling long hours to work",We had a canteen on site,Good hours
63,Working in Multinational exploration company,Geologist,India,05-Aug-17,"Enjoyed while working in Multinational exploration company with overseas exploration expert. Learnt necessary software, exploration technique, behavior to work with foreigners.",work on scheduling,Multitasking
64,working under pressure,Analista de Tesouraria Pleno,"Santo Antônio do Grama, MG",20-Mar-18,not much room for development. cannot plan on vacations since job is very volatile. no room for innovation. however the people on the ground have vast knowledge that one can learn from,interesting chemical processes,long hours
65,Empresa dinâmica e agradável de trabalhar,Metallurgist,SOUTH AFRICA,15-Mar-18,"Ótimos benefícios e remuneração, bom ambiente de trabalho.",Benefícios,Localização
66,Empresa focada em segurança,Mechanical Engineering Apprentice- Rigger,Mines located around Rustenburg and Polokwane,11-Mar-18,"A empresa é muito atenta a questões relacionadas a segurança dos trabalhadores, disponibiliza vários treinamentos de aperfeiçoamento, mantem suas diretrizes firmes e no dia a dia.Uma ótima empresa.","Segurança, aperfeiçoamento, padrão de produção", 
67,Já foi uma empresa melhor,"Electromecanico, Mantencion",Limpopo,11-Mar-18,"Já foi uma empresa melhor no período de implantação na gestão do ex-CEO Paulo Castellari, atualmente a gestão é muito diferente, com novo CEO e conselho executivo.Atividades desempenhadas pelos funcionários muito especificas. Poucas oportunidades de crescimento profissional, empresa geralmente busca profissionais externos para preenchimento das vagas, principalmente vagas de liderança. Não possui plano de cargos e salários. Não apoia em recolocação profissional interna. RH fraco. Gestão e lideranças ruins, muitos com ego e vaidade exagerada. Alguns importantes benefícios foram cortados recentemente. Salário ainda é um diferencial de mercado, porém está passando por um período de achatamento na contratação de novos empregados, como exemplo contratam engenheiro como analista. Empresa com foco em redução de custo e aumento de produtividade.",Experiência em uma multinacional.,Lideranças e gestão.
68,"Reasonable workload, but commute time made for long days",Analista de Suprimentos Sênior,"Tumbler Ridge, BC",10-Mar-18,Immediate manager was very good to work with.Crewbus commute from home made for long days.Gained valuable experience with in-house CMMS and MS Project.The only reason to leave this company was a general shutdown of operations and complete employee layoff.,"Opportunity to hone MS Office, Project and other software",Pre and post workplace commute (crewbus) added 2 hours to workday
69,muy buena empresa,Maestro de ingles,"Rustenburg, North West",07-Mar-18,Muy buenas intalaciones sueldos al dia capacitaciones para sus trabajadores y grato ambiente,buenos sueldos, 
70,Great company,Inspectora de anodos,Mpumalanga,02-Mar-18,"For the most part I really enjoyed my time at Anglos. Management was good as you would expect, the work was always challenging and I worked with intelligent people.The salary was adequate, if not generous.I enjoyed the interaction with my colleagues during and after work and the challenges of new projects.There really was not a hardest part, I left for a new challenge, not because I was tired of the company.",Free lunches,None really
71,Empresa dinâmica e agradavél,Buyer / Senior Buyer,Rustenburg South Africa,27-Feb-18,"Gostei principalmente do desenvolvimento que pude compartilhar com a equipe de manutenção.Atuando no planejamento, criação e melhoria dos planos de manutenção.","Equipe muito unida, gerencia com mente aberta a novas idéias.",Plano de Carreira inexistente e remuneração abaixo da media do mercado.
72,A day to day run of a training center,Capacitador y certificacion,Mantoverde Chañaral,27-Feb-18,It must be normal with challenges prioritized and resolved. Learned to ensure continuous improvement while adopting a culture of no repeats. Open relationship with management business deliverables. Promotes a diverse culture. Is hard when deliverables & deadlines are not met. Is enjoyable when targets are safely met.,A great thank you and appreciation for a job well done,Lack of support from management / supervisor
73,Ótima empresa para se trabalhar,operador de equipamentos III,"City of Johannesburg, Gauteng",21-Feb-18,A Anglo American é uma ótima empresa para se trabalhar. A Anglo realmente tem segurança como valor e isso faz toda a diferença na qualidade dos serviços dos colaboradores., , 
74,Exelente empreza no ramo de mineração,Tecnico em mineracao(operacional),"Johannesburg, Gauteng",15-Feb-18,"Foi um prazer trabalhar nesta grande empresa, ensinei e aprendi muito  nesses 4 anos q morei aliFoi muito bom participar  do start up do projeto minas rio","Salario, benefícios",Localidade da unidade
75,Hard but exciting with safety achievements recognised and celebrated,Encarregado de Armazém,"Rustenburg, North West",14-Feb-18,"The coal mines were bulk producing mines for export and power station smalls.The management teams I worked for fully supported Anglo's need for a safe working mine. The middle management and workers did not trust the system and were difficult to sway from their old mining methodology.I was expected to implement Anglo Health, Safety and Environmental  systems to the workers and ensure compliance to that end. A typical day would require that I comply to the duties of the health and safety officer.",Employees/contractor owning the safety systems in place and going home each day unhurt,Being the middle manager closing the mistrust between management and employee
76,Good package of benefits,conductor de camiones,"Belo Horizonte, MG",09-Feb-18,Good package of benefits and some great professionals. But the management culture is poor and the meritocracy is nonexistent inside the company. Some people are treated in a unfair way., , 
77,a home away from home workplace,HRD Coordinator,"Area El Soldado, El Melon Region de Valparaiso",08-Feb-18,"A typical home away from home workplace.  A place where you missed being at when you away on leave. the values and culture resonated with ones values, one could not detach work from personal. The environment was  happy and conducive for development.","free lunch, free cellphones, free accommodation, career advancement",none
78,preocupados por la seguridad y salud del trabajador,Electrician,"Johannesburg, Gauteng",07-Feb-18,muy buena empresa salario muy bueno ambiente grato de trabajo no me guataria salir de ahi pero por fuerza mayor tengo que hacerlo, , 
79,Challenging and exciting place to be,HRD Data Capture,"Belo Horizonte, MG",07-Feb-18,"After every three months there used to be a shut down in the plant to overview everything, service machinery. As a trainee i was required to partake in that, help clean the plant in and out as there would be inspectors so had to do our level best to ensure everything ran smoothly. At times we would go inside machines and clean them, I'd fear that as i thought they would just run even with them off. I had to climb up the stairs go to the top level to observe if things are in order and i am afraid of heights so had to just so i could get the job done. But with that after a while i got used to the heights. The management was doing well, treated us with respect and ensured that we learn almost everything. They would even ask us to shadow them if they were not too busy. The hardest part of the job was projects we would be given, with some people refusing to assist us when we asked questions. The one thing i enjoyed about working there was the people we worked with, most of them were good people. I never felt like a trainee as at times i was required to give instruction to elderly people they would do the job without hesitation.",Incentive for free injury days,long hours
80,Ótima empresa para trabalhar,Business Improvement Specialist,Minas Gerais,06-Feb-18,Estou na empresa a 4 anos e não tenho nada a reclamar em esta trabalhando com pessoas exemplares e profissionais de qualidade., , 
81,Best company in the world,Técnico de Manutenção Elétrica,Swartklip Limpopo South Africa,04-Feb-18,Purchasing for mines all over south africaThat racism is cruel and should not exist Great management. Solid staff accuracy and importance of transactionsGood canteen and flexitime,Free luches and bonusses,Far from home - traveled by train every day
82,Very good company to work for,Maintenance Engineer,"Witbank, MP",28-Jan-18,Anglo-American is a good company to work for. They are concerned about employees and it was a pleasure to work for them.They strive for excellence and there is a great team spirit. Everyone is committed to doing their best for the organization. Putting in extra hours was not a hassle as I would do it wholeheartedly to get the job  done., , 
83,Buena.,Maintenance Engineer Trainee,"Swartklip, Limpopo",23-Jan-18,Anglo es una empresa donde se puede trabajar tranquilo entendiéndose la presión que tiene trabajar en cantera., , 
84,Working in Multinational exploration company,Geologist,India,05-Aug-17,"Enjoyed while working in Multinational exploration company with overseas exploration expert. Learnt necessary software, exploration technique, behavior to work with foreigners.",work on scheduling,Multitasking
85,Productive,Metallurgist,"Swartklip, Limpopo",14-Jan-18,TYPICAL DAYStart day off with daily safety meeting and delegate work to subordinates.Daily plant stability meeting to discuss current issues and brainstorm  ideas with technical team.Assist subordinates where needed and ensure that tasks given are attended to.Weekly meeting with entire management team to discuss all current issues and to raise concerns.Attend to requests and emails.Attend to current project.Close out day by ensuring that all critical tasks were attended to and that deadlines are met.Management allows freedom to express yourself and you are not tied down. I also do not work under constant supervision.Co-workers are very helpful and knowledgeable. They are approachable and always willing to assist where needed.The hardest part of my job is to constantly improve the process and find solutions to unique problems.The most enjoyable part of my job is the fact that I can do my work in my own manner as long as the job gets done on time. I also enjoy the fact that everyday is different and I live for the challenges in my day to day job.,Beneficios e salarios.,45 hours per week
86,Empresa dinâmica e agradável de se trabalhar,Surveyor Technician,"Belo Horizonte, MG",12-Jan-18,"Its great company with rich culture of health and safety, there's development of employees, managers support their juniors to get experience and encourage people to develop themselves",Great company with benefits, 
87,Fun workpalce,Business specialist,"Johannesburg, Gauteng",11-Jan-18,"Every day presented new challenges. You learn a lot from your team members as you work together to resolve issues and find different and better ways to do things. Management reporting is very interesting, fun and challenging since the Management teams are always focussing on diffent issues which meant we had to come up with innovative ways of presenting the information to keep up with their demands.I learned a lot about presenting information to management. The co-workers were supportive, helpfull and also always open for suggestions.The toughes part for me was keeping up with the ever expanding demand of management for information.The most enjoyable part was keeping up with the ever expanding demand of management for information because it forced you to keep an open mind and stopped you from taking things for granted", ,long hours
88,Buena,Diesel Mechanic Learner,"Santiago de Chile, Región Metropolitana",10-Jan-18,We start the day with a safety meeting and to discuss any challenges we experience in our work.I have acquired a lot of technical skill with the guidance from my seniors and have learned that no question is a stupid question.Management and more specifically my management team understand the challenges faced and the approach is collaborative to address these.My co-workers are a lot of fun to work with and we help each other out where necessary - we work as a team.The hardest part of my job was working out of the workshop in freezing temperatures in winter and in summer the scorchingly hot sun.The most enjoyable part of my job is the successful completion of every job., ,Clima y Altura
89,Productive,HRD Data Capture,"Witbank, Mpumalanga",09-Jan-18,"My day at work was a stress free and enjoyable.I have learned to work with different people of different culture with different attitude an d personality.Working with a difficult client whereby sometimes you don't even know what to do.The team in the HRD were very supportive one injury , injury for all.I enjoyed reaching my daily target.","Ppr, Plano de saude e odontologico, Auxilio Alimentação e Refeição", 
90,Muy buena,Patrolperson,Chofer cargador,08-Jan-18,"1. Sometimes enjoyable, depending on the people encountered during the day.2. I learned that this type of a job needs one to have knowledge on legal aspect, company policies and procedures.3. Management differs from one person to another. It's like some of them are not having self-confidence and support to the juniors while some do some follow ups on reported matters by juniors against some other HOD's of the other departments.4. Some of the co-workers are not team-building, creative and willing to do the job while others are.5. The hardest part of the job is when dealing with rude people (employees or visitors), attending hearings or court of law.6. The most enjoyable part of the job is when dealing with friendly people (employees or visitors) who understand the procedures under which you work.",Great people and workplace, 
91,na,Consultant,"City of Johannesburg, Gauteng",07-Jan-18,"A typical day at work entailed you going in, sitting at your desk and doing the job you were employed to do. I learned ALOT of patience and tricks on Excel and Word. Mistakes are human but sorry does not excuse you all the time. Management was THE BEST TEAM EVER to have worked for. They did not dictate how you should complete a job unless you were under time limits. My co-workers were the same, they were there to do a job, just like I was, it was not about office politics or cliques. Loyalty and dedication. The hardest part of the job was being given a deadline and then that deadline was moved forward, and delivering with 100% confidence. The most enjoyable part of the day was EVERYDAY!",Fringe Benefits,na
92,Sydney Sebata's experience at AAP,Site IM Coordinator,"Rustenburg, Gauteng",03-Jan-18,"I've done quite well at Anglo American Coal, but not everyone has had the same experience. Right now, Met Coal prices have been low for some years and keep falling, so we are going into Care and Maintenance. So no jobs will be available from our mine in some years.The Safety culture of Anglo American is good, but it has never translated into good results on the ground here in Canada. Management seems to be stuck in a branch-plant mindset, where 'experts' are brought out every year from Australia, make a bunch of changes and then go back. There is very little continuity, and too much turn-over in the work-force at all levels.Some improvements have been made in productivity and efficiency at the mine, but not enough to keep pace with the falling prices. So, goodbye Anglo.",Salary is good.,Depends on our job description. I have nothing to complain about for the training I got.
93,Values count.,Risk Co-ordinator,"Swartklip, Limpopo",03-Jan-18,"My job was not only my job but was my hobby and passion and I enjoyed it most of the time.I Worked amoung Qualified and Professional persons and always stood in awe of their knowledge and experience. I was honoured to be part of their team.Each Project was unique so learning was a never ending experience. Change was also an absolute to be embraced.The economic climate changed our project pipeline to almost non-existent and the work load which once provided job satisfaction by keeping you constructively busy, was now almost non-existent.","Free lunch, 13th cheque",None
