,review title,job title,job location,date,description,pros,cons
59,Safety focused company,"Underground Miner / Operator, Lead Miner",Driver NT,"December 10, 2017","The work place culture at all these work places was more of a family than a work place, everyone hand a voice and everyone was heard. This made going to work a pleasure. The companies were also big on personal advancement and offered support for any studies undertaken either within the companies or outside the company.", , 
60,Buen trato,Relacionista Comunitario,Empleado,"November 16, 2017",Relacionamiento con las comunidades de influencia directa e indirecta al proyecto,Beneficios Laborales,Estabilidad laboral
61,greatful and fun workplace,Roadway maintenance,"Rustenburg, North West","November 8, 2017","Working at Glencore was great and i realy appreciate working with them,safety was good and production also good.Management was great as well and thank", ,8 hours
62,Work conditions are alright.,Auto Electrician,"Witbank, Mpumalanga","November 7, 2017",Its a good company but I am looking for something better that offers more development.I am looking for a company that will help me grow in my field of work.,None,None
64,awesome job,Intern,"Stamford, CT","October 30, 2017",would recommend to a friend. professional work place with great culture. employers were highly intelligent and easy to work with/to work for. I really had many take aways, , 
65,Very difficult in the end,Underground Operator,Tieri QLD,"October 19, 2017",In the end became very difficult to work there with all the external factors going on ! before the strike issues we were able to produce coal at a very efficient and productive manner!,Permanent job,The mines was closeing
66,Good place to work in,Senior Accountant & Cost Controller,Douala,"October 17, 2017",I enjoyed working at Glencore till the drop in oil price brought uncertainty and final loss of job as our asset was transferred to another operator.Colleagues were very supportive and sincerely we became close.The care and concern I enjoyed at Glencore from fellow colleagues is commendable.,"free lunches, gym",Delayed feedback
67,Productive and hard working,Artisan Electrician,"Lydenburg, Mpumalanga","October 17, 2017",For the last 17 years I have been part of the Glencore Group.It was a privilege to be part of a group that look after their people and contribute to their community.,Weekends off,Long hours
68,I enjoy working with the people im working with,Sta.operator,Mount Isa QLD,"October 15, 2017",I like the flexibility this job gives me from loaders loading trucks to dump trucks and kress hauler. Also the chance to be a 2ic which i enjoy doing and training people in these roles. .,Nil,Nil
69,productivity,Radio Operator and vehicule dispatcher,N'djamena,"October 14, 2017",I am a young chadian looking for a job in all over the world to help my self and the companies that give me a chance to perform and develop my careers,free lunch,long hours
70,Agradable clima Laboral,Practicante Pre-profesional,"Espinar, Cusco","October 13, 2017","Realización de mallas de perforación y voladura, radios de voladura, llenado de reportes varios de corto, mediano y largo plazo, realización de diseños de fases, botaderos, Niveles, etc. Realización de conciliaciones y planes. Aprendí MineSight, Talpac, H&M Blast, Blast Pattern, etc. La dirección y gerencia te evalúa todo el tiempo y recibes el apoyo de ellos para las dudas que puedas tener, así mismo recibes el apoyo de todo el personal de la empresa que ayuda a tu formación como profesional y persona. Tiene una cultura laboral muy buena y se puede vivir en las oficinas de todos las áreas. La parte más difícil del trabajo fue adecuarme a la convivencia lejos de mi familia y amigos, pero pude hacer buenos amigos y colegas dentro de la empresa. Lo que más me gustó del trabajo es el compañerismo entre todos los trabajadores, el respeto que hay entre ellos y la calidad de profesionales que son, ya que tienen experiencia en su trabajo y tienen un amplio conocimiento de la labor que desempeñan.",Gran Ambiente de trabajo,No encuentro contras
71,ambitious workplace,Various administrative tasks,Kanton Zug,"October 9, 2017","good place to work for if you like to go into commodity trading. many working hours but also huge after-work culture. many expats and interesting ppl, very intercultural", , 
72,Great learning environment,Human Resources Graduate,"Mpumalanga, Witbank","October 3, 2017","Glencore is a great working and learning environment, they offer the best developmental and support programs employees can ever wish or hope for. The company is results driven and fosters a culture and spirit of hard work and accountability. The management is very professional and supportive, they are always willing to mentor trainees and new employees.As a young person dealing with difficult employees who had to be taken to disciplinary hearings was not an easy task especially knowing that some of the hearings culminate into dismissals, but one gets used to it. I enjoyed the many learning opportunities.",unlimited learning opportunities,Inevitable closure of some operations as coal and other minerals becomes harder to access.
73,"Collègues agréables, équipe de gestion très inefficace.",Ancien employé,"Montréal-Est, QC","September 13, 2017","Le personnel est, dans son ensemble, très compétent, mais la culture organisationnelle de cette usine ne permet pas d'optimiser le potentiel de chacun. Plusieurs employés sont très démotivés. Atmosphère de travail moyennement agréable. Si vous recherchez un salaire, vous êtes au bon endroit. Si par contre, vous recherchez un travail passionnant et stimulant qui offrira des défis à la hauteur de vos compétences...Vous serez peut-être déçu!",Les salaires sont très compétitifs,"La culture globale de l'usine de Montréeal-est, Très hiérarchisé rendant l'atmosphère de travail peu motivante."
74,Very productive,Electrician,Limpopo,"September 7, 2017",Been experience that no one will like to miss. Friendly managment always willing to assist through out short falls. It has became more as a family too,Own lunch,8 hours
75,Top Tier Trading Company,Senior Risk Manager,"Stamford, CT","August 25, 2017",Very difficult and tough place to work but if you can survive then it goes a long way towards letting others know that you're good at it.  Long hours are expected especially at month end.  You must be at the top of your game or you will be out the door in no time., , 
76,Work,Acting Supervisor,"Witbank, Mpumalanga","August 24, 2017",Its fun to work with the people I am working with know. The team I am working with is a great team have fun tighter but can also be difficult working with the, , 
77,one of the best jobs a person can have,transportation and logistics,"Falconbridge, ON","August 21, 2017",management really cares. This is a place where you can advance in your career if you are a hard and honest worker. Overtime hours are available and Monday to Friday work week is stellar.,excellent wages and hours, 
78,Working for the glencore mines .,Electrician,Mount Isa QLD,"July 27, 2017",This is rated higher than most mines but harder to find a position with in the company. If you are skilled it could it is a good choice try copper or lead mines.,Good safety standards,Some mines are old and need upgrades.
79,Nice place to work at,Systems Officer,Witbank,"July 23, 2017",Some of the people is nice to work with some not. But overall it is a nice place and very big company. If you want to start a career as a miner Glencore is the place to start. They have nice courses and take you through lots of programs to improve your skills., , 
80,Great people home from home,Induction training officer,"Witbank, Mpumalanga","July 11, 2017",".Great people to work with who made you feel secure and like you had family around you.A typical day at work was meeting lots of new people, registering them for CBT induction, giving them HIRA and fire fighting induction.I learned to draw up CBT induction programs, how to work with large groups of people and I learned self confidence within myself by being able to stand up in front of large numbers of people and train them..My managers were good fair people.Great work culture. The hardest part of my job was gaining new information from the different safety personal and adding that information into the induction program..The most enjoyable part of the job was meeting new people and teaching them new ways of looking at HIRA.",Meeting lots of intresting people,More or less same thing every day
81,"Great Company, great people",SAP Consultant (HCM) Direct Support,"Witbank, Mpumalanga","June 26, 2017",Excellent Company to have had the privilege to contract for. Loved to soak up any learning experiences that was offered to them. Diligent in what they do.,Competitive Benefits,Too many cheaper options e.g India
82,Isolated area,Logistics surface operator,Mount Isa QLD,"June 15, 2017",Very uncertain future with company as they are unsure if they want to stay in Mount Isa. Not very family focused. Good to get some mining experience with, , 
83,Safety first,Belt attendant,"Burgersfort, Limpopo","June 12, 2017","I start with safety meetings with fellow employees,and continue to work station where i declare workplace safe for employees to enter.I learned a lot about looking at your own safety and those of fellow employees.The hardest part of the job is that is too risky if you don't pay focus you can loose your life and i enjoy coaching workers.",good work relation between colleques,"Working hours good, you get payed for working overtimes"
85,Developing Work skills,Mangement Contracter Coordinator,"Bathurst, NB","June 3, 2017",I worked at the same mine for 38 plus years and worked myself up the ladder from labourer to Miner for the first 12 years and then went on to a management position from Frontline  to Supervisor to Trainer to Schedular/planner  to Contractor Coordinator.The last position was for 9 years  . I was responsible for deliverables such as Priority Mining to advising and following all best practices  and most importantly . The Safety of the workers from a managers perspective .,Dependable Company with a good salary,Daily travel which was 2.5 hours per day
86,Good place to work !,HR coordinator,"Montréal, QC","June 1, 2017",Good place to work and learn about mining industry. Good people... really competent ! Had fun and would recommend to my friends and family ! thank you !, , 
87,Summer internship,MBA Associate Intern,"Zug, CH","May 31, 2017",I worked on a summer internship at Glencore and found it to be very interesting. My work was based in the ferroalloys department where we focused on chrome and manganese., , 
88,Safety and fire safety reports,Safety Officer & Fire Marshall,Old Marikana Road Brakspruit,"May 27, 2017","Clocked in, doing inspections or audits, and reporting. Many other tasks conducted.I learned so many things on a day-to-day basis because I am always open-minded. Even something I know I have mastered, I re-enforce in my mind yet again.Management was fair in the system they had to work in, but they were too free to decide for us whatever they wanted.The workplace culture placed huge emphasis on safety, of which I was a huge asset.The hardest part of the job was carrying fire extinguishers upstairs. lot.Most enjoyabe was the relationships with my co workers, and amending frustrations with those a few like.","Production bonusses, housing allowances, medical, pension, and team building.",Working on the Sabbath
89,Buenas oportunidades para crecimiento profesional,Administrador de sitio - Ingeniero Senior,"Antofagasta, Antofagasta","May 21, 2017",Existe alta motivación para el crecimiento en ámbito profesional,"Seguros complementarios, continuidad de estudios y otros",En oportunidades no se cumplen acuerdos
90,Work,Junior Trader Trainee Program,London,"May 15, 2017",Please see second review. This is the same company and the same applies.This is the place where I grew up in the industry and are forever grateful for the experience, , 
91,Flott arbeidsplass,Industrimekaniker,Kristiansand,"May 12, 2017","Flott, trygg og sikker arbeidsplass som har meget varierte jobber.",bra arbeidsforhold, 
92,"Productive, fun and caring workplace",Student/Labourer,"Greater Sudbury, ON","May 1, 2017","Great place to work, always productive, caring and fun workplace that cares about its employees and ensures they are well and fit. If ùI ever get the opportunity to work there, I would take it in a heart beat for life time career.", , 
93,Profesional and productive work environment,Mechanical Foreman,"Rustenburg, North West","April 1, 2017",My work experience was very exciting and valuable. I have met several new people and gained more experienced during my time at this company. The employee/ employer relation was excellent and company policies was clear and understandable to everyone., , 
94,"Very bottom line centric, but a great place to work",Crude Trader,"Stamford, CT","March 30, 2017","Those who succeeded worked hard, but were very well compensated for their work.  I could be a cold place, but, all in all, I found it a very satisfying place to work.","If one succeeded, the compensation was great","If one did not succeed, there was not of slack"
95,work at Glencore Rustenburg,Plant Engineer,"Rustenburg, North West","March 23, 2017",Work it self was niceDaily work very routine basegeneral manager very nice but s trickedWorks manager very negative personLower class workers very lazyto get people motivated to give there bestdoing projects,very safety consious,negative work force
96,Nice workplace,Shift Supervisor,Thorncliffe mine,"March 15, 2017",Hard work but rewarding. Its a good stable company to work for and the benefits are huge. The medical they provide is also of n high standard. And the salaries are very market competitive.,Good bonus,None
97,Productive and learning culture,"Agi operator, shotcreter, charge up",Cloncurry QLD,"March 9, 2017","Glencore has got me this far in my short mining career, now its time to move on amd learn some more in a different environment, broaden my mining knowledge and experience dofferent working cultures", , 
98,Buena linea de carrera,Analista de Control de Calidad,Lima,"March 7, 2017","Se aprende mucho porque tienes gran responsabilidad, y siempre hay algo que mejorar.",Seguro médido y oncológico,Trabajas hasta tarde y/o los fines de semana
99,Me permite trabajar en equipo y con seguridad.,operador de maquinaria pesada,Antofagasta,"February 16, 2017",Una Empresa la cual me entregó las herramientas necesarias para poder desempeñarme exitosa y responsable en mi cargo de Operador de Maquinaria pesada. Permitiendo una operación con objetivos claros. Seguridad y eficiencia.,"Seguros médicos. Bonos Escolaridad, Bono habitacional.",No contamos con centros deportivos
100,Productive,Senior Supervisor,Mount Isa QLD,"February 15, 2017",Great team environment and supportive management team. Sometimes hard to work with other commodities onsite on occasion. A place to improve yourself without judgement.,Respect for each other,Nil
101,work safe,ERZ Controller,Glende Qld Australia,"January 29, 2017",Team work environment with major focus on safety. Training for everyday tasks was high priority. Shift training every 6 weeks on basic safety,family orientated roster,remote location
102,Enjoyable Job,Miner C,"Onaping, ON","January 27, 2017",I enjoy going to work day in and day out.  Many crews have good morale and are good to work with.  Logistics department has a good mixture of jobs that are rotated therefore keeping things interesting., , 
103,Amazing high flying company environment,Personal Assistant,London,"January 23, 2017","I was PA for three old traders and worked on the trading room floor.  I would take all my traders calls and redirect as necessary.  Extensive overseas travel and meeting dates for the traders.  Typing of all correspondence.  Amazing buzzy environment to work in often very pressurised and hectic.  Long hours were the main bone of contention, because if a deal was going through you had to wait until it was done.",Bonuses and lots of free lunches,Often long hours and at the time I had a young child whom I did not see very much.
104,"Prodution seem to be the target, some procedures not adhered to.",Diesel Mechanic,"Rustenburg, North West","January 18, 2017","Good working environment, diverse cultures. Stressing at times due to lack of man power and proper workshop. Old machines resulting in many breakdowns and spares not available at time of need which result in long working hours.",Nothing,Fatigue due to long hours and manual handling of spares.
106,Overall good experience,Senior Financial Reporting Accountant,"Cañada de Calatrava, Ciudad Real","January 17, 2017",Long working hours but good management and the job is challenging. Compensation is good. Nice people to work with. the company is international and provides a lot of learning experience., , 
107,environnement agréable,mecanicien industriel,Nouvelle Caledonie,"January 16, 2017","beaucoup de préparation avant de commencer un travail , il faut s'habituer au différente culture , le plus difficile a été de transmettre mes expériences de travail par contre la valorisation personnelle a été très bonne .",salaire et avantages,loin de la maison
