,review title,job title,job location,date,description,pros,cons
78,Productive self motivated,Mining System Technician,Mesa A Pilbara,"February 22, 2018",I work on a mine site where i am the only person looking after the Rio Tinto interests in the Mining Systrm equipment.So i am hard working self motivated.,No one looking over your shoulder,No one else to work with
79,Good place to work,Electrical Apprentice,"Kitimat, BC","February 22, 2018",I found it to be an enjoyable place to work.  Show up and do your job and it is a good place to work.  Kitimat is a beautiful place to live and work.., , 
80,Not much opportunity for advancement.,Maintenance Specialist,"Salt Lake City, UT","February 19, 2018","My biggest piece of advice for anyone thinking about working here is be very careful which group you go into. If you are not in the right group or in the right position it doesn't matter what education or experience you have, your chances for promotion are non-existent. Having a graduate degree and 25+ years of experience doesn't matter to these people at all. They would rather promote friends or political partners into positions they have no business being in in the first place. Lack of experience and knowledge of these people they keep promoting into these upper level positions is going to bite them and it's the workers who will end up paying for it.",Benefits,"Lack of effective management, lack of advancement opportunities"
81,"Fun , challenging",Office Manager,North west provicnce,"February 12, 2018","Planning daily supplies for project teams were a real pleasure , administrating the aftermath of the project , also challenging, But great fun and learning experince",Good company benefits,Far from family
82,Bon tremplin dans le monde professionnel,Roster Manager,"Montréal, QC","February 6, 2018",J'ai appris à travailler sur des dossiers avec plusieurs acteurs à l'international et à m'exprimer en anglais au quotidien.,"Multinationale, perspectives de carrière",Département transféré en Australie où je n'ai pas pu suivre
83,Great work life balance & remuneration,Mine Planning Engineer,Robe Valley Operations,"February 5, 2018","Great work life balance & remuneration but slower career progression. I enjoyed the work and the challenge, but difficult to move to a city based role from a site based role.", , 
84,Good place to work,Analytics Consultant,"New Delhi, Delhi","August 26, 2018",Good place to work Salary & Perks are goodLeadership is excellentWork life balance is excellentJob InsecurityCareer growth/opportunities record is dismal, , 
85,Productive. Excited to be here. But more room for improvement.,Operator,"Wilmington, CA","January 31, 2018","Just the right place for me. Strong union, Great job, and good people. But would have love more opportunity to advance. Unfortunately there are only a few opportunities.",Many free lunches,Takes a while to fix broken equipment.
86,"good paying job, lots of time for family, very poor management.  disrespectful to the exteme with little to no consideration for their employees.",Some temporary supervisor work,"Kitimat, BC","January 30, 2018","Good pay, lots of family time, pension plan.   Unfortunately, like many large companies, people are not a priority.  Production over the safety (circumventing safety rules for own purposes) World class smelter my butt.  They forget about their people.  The plant is definitely not built around people.  People are to be exploited and disrespected and there is little chance for moving up not that you want to go into management as you seem to get brain washed when you do become a foreman.  No one is willing to stand up for sensibility or the good operators.  Doomed to fail.",good pay,disrespect and poor equipment to complete given tasks
87,Securite et environnement,Senior Advisor,La defense,"January 25, 2018",mon avis est très positif sur ces deux points. priorité à la sante des salariés., , 
88,Proud To Work And Be A Member of A Group Of This Company.,Multi Machine Operator,Nhulunbuy NT,"January 22, 2018",Every day was a very pleasant day when we were driving to the Gate house.The safety that i was feeling just before I enter the plant and  even at the end of the day.They all kept us safe.I leaned how to minimize my risks for any accident me and my group of workers.The EHS personal kept us updated daily for any Hazards in all areas.Had to have our eyes open for any slip-trip hazards and any spills around our work place.Most enjoyable part for me was to understand the progress and working in all the areas of the plant meeting new operators and CEO personal daily.,"Beautiful location, nice people, good total of safety.","Heat, Dehydration, noise."
89,L'endroit qui me semble la mieux pour l'épanouissement professionnelle,"Mécanicien  , soudeur et inspecteur en soudage .","Shipshaw, QC","January 22, 2018",Grandes possibilitées  de carrière  pour celui qui recherche sa satisfaction au travail.,Pour celui qui veut avancer dans sa carrière,Il n'y en a pas
90,No care for employees,Supervisor/Manager,"Salt Lake City, UT","January 19, 2018","The company is unable to remain stable despite open discussions of stability. They seem to be focused on consistent organization change and shaking up all aspects of their global support model in favor of offshoring and outsourcing. I have seen some of the most talented people I've ever worked for laid off in favor of cheap labor in other countries for nothing more than the forward dollar saved despite the long-term cost increase of outages and reputation impact. They are currently undergoing yet another organization restructure impacting over 200 people in the US without any significant care for the impact this will have on the people or the local economy.  I have always believed in the work that I do and wanted to retire from this company but the actions and significant mental stress caused by our CEOs, Board and other senior leaders make me regret spending over a decade working here.","Generally good work/life balance, good benefits","Lack of employee satisfaction, poor organizational change"
91,tres grand groupe,Opérateur de production,Gardanne (13),"January 18, 2018",bon avantages mais plus beaucoup de site de production en france,ce tres avantageux,de moins en moins de sites
92,It's a good steady job,Mine operator,Weipa QLD,"January 10, 2018","It's a bit hard to explain because we hardly get training on other machinery due too certain rules they don't practice what they preach, and Weipa with the lowest paying mine but the high rent",Nothing good so far,New roster
93,nice and prudictive days.,Bap operator,"Boron, CA","January 9, 2018",everyday was very interesting from learning the way the plant operated to operation of the heavy equipment. just an all around nice place to work with nice individuals to work with., , 
94,long hours,Accounts Payable Specialist,"South Jordan, UT","January 7, 2018",I liked my coworkers and my job responsibilities but I found the pressures and demands of the job were overwhelming and required quite a bit of my time, , 
95,benefit where going but let down by management,Process Operator,Kununurra WA,"January 6, 2018","Management needed to better in, on the job training and experience. The roster was brilliant 2 weeks on and 2 weeks off which they no longer have. Camp facilities were exceptional,", , 
96,Très bonne compagnie,Employé cadre pour Alcan,"Saguenay, QC","January 2, 2018","Gestion de coût, de sécurité,de personnelles et de productivité",culture,aucun
97,The people are pretty cool,Health and Safety Element 8 Custodian,"Salt Lake City, UT","December 29, 2017",I worked with some pretty cool people that were NOT in management. Something happens to some people when they get into corporate management in my opinion., , 
98,Excellent company with room to advance.,Underground Coordinator,"South Jordan, UT","December 18, 2017","Really enjoyed working for Rio Tinto. Left contract mining to enjoy a better quality of life. Generous compensation, and I had a terrific work schedule of 7 days on 7 off, with 5 weeks of paid vacation.", , 
99,Excellent company to work for,Business Improvement Specialist,Brockman WA,"November 30, 2017","Great company to work for with excellent salary and benefits.  Corporate exposure helps you to increase your strategy and financial skills.The workplace culture is good.  Something to improve is the tolerance to non-native English speakers which makes difficult to these people to step up in higher positions (management positions) - this is the hardest part of the job.In the minesite, and depending on the manager, there is a bias to judge sooner than later to introvert people - this is not welcome in a competitive environment like Rio.  You have to invent jokes and just pretend to be extrovert - this is a success factor to step up (apart from your English skills).Most enjoyable part of the job is that you have challenging objectives to reach which makes you exploit your skills and knowledge in a collaborative environment.",Company to grow professionally and personally,"Not an inclusive culture, lack of tolerance for non-native English speakers"
100,Determined and Successful,Document Control Manager,London,"November 29, 2017","Very much aligned to optimal working experience and never at the expense of the wellbeing of the person or team. Very mindful and considerate. Energetic, supportive, flexible, optimising. A very good team-mentality.",Strong Management,None I can think of
101,journée de travail,contremaître équipements mobiles miniers,"Havre-Saint-Pierre, QC","November 26, 2017","Le train matin et soir, journée de 10 heures. 35 employés à gérer. meeting tous les jours avec le production et la planification. Gestion de problèmes régulièrement.", , 
102,Good company w/great benefits,Manager,"South Jordan, UT","November 22, 2017",Rio Tinto overall is a good company to work for however the company is mostly international based and not very US friendly.  The company provides good benefits however advancement is tough for some positions (glass ceiling).,Benefits,Limited Advancement
103,"Stable work, great environmemt",Electrical Apprentice,"Boron, CA","November 22, 2017","Competitive, challenging, and rewarding environment. Awesome union stewards. Great place to add plenty of skills under your belt. There are a lot of opportunities for anyone who is open to working in a safety oriented atmosphere.", , 
104,Production operator,Production operator,Yandi Mine WA,"November 19, 2017",Good company to work for.  Have a good safety standard. And look after theor employees. The work accommodation is first class and always maintained.  I, , 
105,Good place to work,Analytics Consultant,"New Delhi, Delhi","August 26, 2018",Good place to work Salary & Perks are goodLeadership is excellentWork life balance is excellentJob InsecurityCareer growth/opportunities record is dismal, , 
106,Poor Management,Technical Specialist I,"South Jordan, UT","November 16, 2017",Consistently pushed to violate established safety rules. Supervisor took credit for others work while deflecting blame on others when things go wrong.,Decent compensation,Poor management
107,No comment,Loader Operator,"Yellowknife, NT","November 15, 2017",Camp work rotational fly in only twelve hour shifts. Limited resources at camp site poor food choices and not the cleanest. Very cold and isolated in the winter, , 
108,Secure company with good pay and benefits,Finance,Utah,"November 1, 2017","Great pay and benefits, but you're always at risk of loosing your job to outsourcing or reorganization. Constant focus on safety and cost cutting.  Most of the managers are good, but you could end up with a difficult one depending on the department.", , 
109,Rio tinto as a whole good company. Poor leadership and management,Technical Specialist,"Riverton, UT","October 27, 2017",Loved my job. However poor management. Discrimination and retaliation issues even when you have proof. Lack of follow through. Multiple issues called in on certain individuals  nothing happened.,Some great groups to work with within rio tinto.,Overwelmed short staff
